Αττική-Ηλιούπολη Musses So Good,,23.75622,37.92257,,Ηλιούπολη Αττικής,Κωνσταντινουπόλεως,65
Αττική-Ηλιούπολη Γιώμα,,23.74475,37.94226,,Ηλιούπολη Αττικής,Παύλου Μελά,1
Αττική-Ηλιούπολη Εις Υγείαν,,23.75607,37.9397,,Ηλιούπολη Αττικής,Λεωφόρος Ανδρέα Παπανδρέου,32
Αττική-Ηλιούπολη Οινόπολις,,23.75232,37.93722,,Ηλιούπολη Αττικής,Πλατεία Παλαιών Πατρών Γερμανού,8
Αττική-Ηλιούπολη Οινοχώρος,,23.75202,37.9305,,Ηλιούπολη Αττικής,Λεωφόρος Σοφοκλή Βενιζέλου,67
Αττική-Ηλιούπολη Το Λαΐνι,,23.75617,37.93921,,Ηλιούπολη Αττικής,Ποσειδώνος,45
Αττική-Ίλιον - ΦΟΥΚΑΣ ΔΗΜ. & ΣΙΑ ΟΕ,Τηλ. 2105029723 - Φαξ 2105029723 (GMap),23.6915,38.03011,13121,Ίλιον,Λεωφόρος Παλατιανής,13
Αττική-Καισαριανή,,23.75245,37.97161,,Καισαριανή Αττικής,Γρηγορίου Θεολόγου,4
Αττική-Καισαριανή Cava Canava,,23.75503,37.97219,,Καισαριανή Αττικής,Ευφρονίου,63
Αττική-Καισαριανή Cava Vino,,23.76087,37.96789,,Καισαριανή Αττικής,Λεωφόρος Εθνικής Αντιστάσεως,104
Αττική-Καισαριανή Φίλοιστρον,,23.75787,37.96849,,Καισαριανή Αττικής,Λεωφόρος Εθνικής Αντιστάσεως,56
Αττική-Καλλιθέα,,23.69758,37.95091,,Καλλιθέα Αττικής,Περικλέους,33
Αττική-Κερατσίνι,,23.62518,37.96434,,Κερατσίνι Αττικής,Λεωφόρος Σαλαμίνος,87
Αττική-Κηφισιά - VINIFERA - ΣΤΑΥΡΙΝΙΔΗΣ - ΖΟΥΜΠΟΥΛΗ & ΣΙΑ ΟΕ,Τηλ. 2108077709 - Φαξ 2106254663 (GMap),23.81401,38.07922,14561,Κηφισιά,Λεωφόρος Κηφισίας,317
Αττική-Κηφισιά - ΚΑΡΑΪΣΚΟΣ ΔΗΜΗΤΡΗΣ,Τηλ. 2108072390 - Φαξ 2108072905   - Κιν. 6977238589 (GMap),23.79739,38.09017,14564,Κηφισιά,Ελαιών,25
Αττική-Κολωνάκι Ανθίδης,,23.74372,37.97621,,Κολωνάκι Αττικής,Υψηλάντου,11
Αττική-Κορυδαλλός,,23.65733,37.97992,,Κορυδαλλός Αττικής,Λεωφόρος Γρηγορίου Λαμπράκη,118
Αττική-Κορυδαλλός,,23.64756,37.97825,,Κορυδαλλός Αττικής,Γεωργίου Σούρη,74
Αττική-Κορυδαλλός,,23.65752,37.97304,,Κορυδαλλός Αττικής,Αχιλλέως,10
Αττική-Κορυδαλλός,,23.65742,37.97847,,Κορυδαλλός Αττικής,Κύπρου,17
Αττική-Κορυδαλλός,,23.65729,37.97425,,Κορυδαλλός Αττικής,Πλουτάρχου,17
Αττική-Κορυδαλλός,,23.64772,37.97349,,Κορυδαλλός Αττικής,Γεωργίου Σουρή,1
Αττική-Κορυδαλλός,,23.65583,37.97696,,Κορυδαλλός Αττικής,Σωκράτους,12
Αττική-Κορυδαλλός,,23.64146,37.98498,,Κορυδαλλός Αττικής,Δάφνης,5
Αττική-Κορυδαλλός,,23.64314,37.98273,,Κορυδαλλός Αττικής,Παπαδιαμάντη,24
Αττική-Κορυδαλλός, ,23.65187,37.97737, ,Κορυδαλλός Αττικής,Δημητρακοπούλου, 
Αττική-Κορυδαλλός, ,23.65129,37.9871, ,Κορυδαλλός Αττικής,Μικράς Ασίας, 
